Path,Name,Sex,Age,Phone,ID_Number,Address,Frontal/Lateral,AP/PA,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Opacity,Lung Lesion,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
CheXpert-v1.0-small/train/patient00001/study1/view1_frontal.jpg,Janice,Female,68,14730120855,420801194404259577,重庆市哈尔滨县滨城周路e座 873602,Frontal,AP,1,,,,,,,,,0,,,,1
CheXpert-v1.0-small/train/patient00002/study2/view1_frontal.jpg,Anita,Female,87,18768865156,32102319661002055X,福建省飞市吉区柳州路V座 752894,Frontal,AP,,,-1,1,,-1,-1,,-1,,-1,,1,
CheXpert-v1.0-small/train/patient00002/study1/view1_frontal.jpg,Denise,Female,83,15673305141,23090419610319160X,黑龙江省西宁市门头沟李路r座 395709,Frontal,AP,,,,1,,,-1,,,,,,1,
CheXpert-v1.0-small/train/patient00002/study1/view2_lateral.jpg,Yvette,Female,83,15127095800,150926198504088272,黑龙江省南京县大兴姚路G座 989449,Lateral,,,,,1,,,-1,,,,,,1,
CheXpert-v1.0-small/train/patient00003/study1/view1_frontal.jpg,Jacob,Male,41,18737138911,231282199003126320,云南省成县清河王路u座 403857,Frontal,AP,,,,,,1,,,,0,,,,
CheXpert-v1.0-small/train/patient00004/study1/view1_frontal.jpg,Susan,Female,20,15576543581,210300200212068042,香港特别行政区俊县白云凌街D座 389225,Frontal,PA,1,0,,,,,0,,,,0,,,
CheXpert-v1.0-small/train/patient00004/study1/view2_lateral.jpg,Maureen,Female,20,15808799948,51332919860708588X,湖北省合山市萧山邱路b座 352004,Lateral,,1,0,,,,,0,,,,0,,,
CheXpert-v1.0-small/train/patient00005/study1/view1_frontal.jpg,Karl,Male,33,13744930269,340404200507263611,吉林省桂珍县东城李街o座 815319,Frontal,PA,1,,0,,,,0,,,,0,,,1
CheXpert-v1.0-small/train/patient00005/study1/view2_lateral.jpg,Jerry,Male,33,14733902519,441203196911164859,新疆维吾尔自治区潜江市闵行兰州街x座 234312,Lateral,,1,,0,,,,0,,,,0,,,1
CheXpert-v1.0-small/train/patient00005/study2/view1_frontal.jpg,Douglas,Male,33,13309671092,410122200406241776,江苏省关岭市和平东莞路f座 485201,Frontal,AP,,,,,,,,,,1,,,,
CheXpert-v1.0-small/train/patient00005/study2/view2_frontal.jpg,Jose,Male,33,13674887543,130423200512236896,河南省秀珍市翔安叶路Q座 567397,Frontal,AP,,,,,,,,,,1,,,,
CheXpert-v1.0-small/train/patient00006/study1/view1_frontal.jpg,Rosa,Female,42,13859266233,430523198208072686,澳门特别行政区萍县高坪管路a座 145376,Frontal,AP,1,0,,,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00007/study1/view1_frontal.jpg,Tony,Male,69,15279638628,511133197203218196,甘肃省欢县清河重庆路R座 383159,Frontal,AP,,,1,1,,,,,1,1,0,,0,1
CheXpert-v1.0-small/train/patient00007/study2/view1_frontal.jpg,Jeremy,Male,69,18165202463,410728195602286565,澳门特别行政区畅市东丽孟路V座 604699,Frontal,AP,,1,,1,,,,,1,0,0,,0,1
CheXpert-v1.0-small/train/patient00008/study1/view1_frontal.jpg,Mike,Male,81,13316767760,310000196403117853,福建省海口县怀柔呼和浩特路f座 970331,Frontal,AP,,,,1,,,,,,,1,,,1
CheXpert-v1.0-small/train/patient00008/study2/view1_frontal.jpg,Daniel,Male,81,13242305917,620501200709215320,福建省婷市萧山兴安盟街P座 384141,Frontal,AP,,,,1,,,,,,0,1,,,1
